spins,perm,orig,permuted,match
"1,2,3,4,5,6",col0<->col1,sqrt(1430)/2145,sqrt(1430)/2145,True
"1,2,3,4,5,6",col0<->col2,sqrt(1430)/2145,sqrt(1430)/2145,True
"1,2,3,4,5,6",col1<->col2,sqrt(1430)/2145,sqrt(1430)/2145,True
"1,1,1,1,1,1",col0<->col1,1/6,1/6,True
"1,1,1,1,1,1",col0<->col2,1/6,1/6,True
"1,1,1,1,1,1",col1<->col2,1/6,1/6,True
"2,2,2,2,2,2",col0<->col1,-3/70,-3/70,True
"2,2,2,2,2,2",col0<->col2,-3/70,-3/70,True
"2,2,2,2,2,2",col1<->col2,-3/70,-3/70,True
"3,4,5,6,7,8",col0<->col1,1886*sqrt(106590)/14549535,1886*sqrt(106590)/14549535,True
"3,4,5,6,7,8",col0<->col2,1886*sqrt(106590)/14549535,1886*sqrt(106590)/14549535,True
"3,4,5,6,7,8",col1<->col2,1886*sqrt(106590)/14549535,1886*sqrt(106590)/14549535,True
